myadd píng 瓶
5E60 hū 幠
5E61 fān 幡
5E62 chuáng,zhuàng 幢
5E63 bì 幣
5E67 qiāo 幧
5E6A méng 幪
5E6B bāng 幫
5E6C chóu,dào 幬
5E6E chú 幮
5E70 xiǎn 幰
5E71 lán 幱
5E72 gān,gàn 干
5E73 píng 平
5E74 nián 年
5E76 bīng,bìng 并
5E78 xìng 幸
5E79 gàn 幹
5E7A yāo 幺
5E7B huàn 幻
5E7C yòu 幼
5E7D yōu 幽
5E7E jī,jǐ 幾
5E7F ān,guǎng 广
5E80 pǐ 庀
5E84 zhuāng 庄
5E86 qìng 庆
5E87 bì 庇
5E8A chuáng 床
5E8B guǐ 庋
5E8F xù 序
5E90 lú 庐
5E91 wǔ 庑
5E93 kù 库
5E94 yīng,yìng 应
5E95 de,dǐ 底
5E96 páo 庖
5E97 diàn 店
5E99 miào 庙
5E9A gēng 庚
5E9C fǔ 府
5E9E páng 庞
5E9F fèi 废
5EA0 xiáng 庠
5EA4 zhì 庤
5EA5 xiū 庥
5EA6 dù,duó 度
5EA7 zuò 座
5EAA guǐ 庪
5EAD tíng 庭
5EAF bū 庯
5EB3 bì 庳
5EB5 ān 庵
5EB6 shù 庶
5EB7 kāng 康
5EB8 yōng 庸
5EB9 tuǒ 庹
5EBC qǐng 庼
5EBD yù 庽
5EBE yǔ 庾
5EC1 cè,si 廁
5EC2 xiāng 廂
5EC4 jiù 廄
5EC6 guī,wěi 廆
5EC8 shà,xià 廈
5EC9 lián 廉
5ECA láng 廊
5ECB sōu 廋
5ED0 jiù 廐
5ED1 jǐn,qín 廑
5ED2 áo 廒
5ED3 kuò 廓
5ED5 yìn 廕
5ED6 liào 廖
5ED9 yì 廙
5EDA chú 廚
5EDB chán 廛
5EDD sī 廝
5EDF miào 廟
5EE0 chǎng 廠
5EE1 wǔ 廡
5EE2 fèi 廢
5EE3 guǎng 廣
5EE8 xiè 廨
5EE9 lǐn 廩
5EEA lǐn 廪
5EEC lú 廬
5EF3 tīng 廳
5EF5 xún 廵
5EF6 yán 延
5EF7 tíng 廷
5EF8 dí 廸
5EF9 pǎi,pò 廹
5EFA jiàn 建
5EFB huí 廻
5EFC nǎi 廼
5EFF niàn 廿
5F00 kāi 开
5F01 biàn 弁
5F02 yì 异
5F03 qì 弃
5F04 lòng,nòng 弄
5F06 jǔ 弆
5F07 yǎn 弇
5F08 yì 弈
5F0A bì 弊
5F0B yì 弋
5F0C yī 弌
5F0D èr 弍
5F0E sān 弎
5F0F shì 式
5F11 shì 弑
5F13 gōng 弓
5F14 diào 弔
5F15 yǐn 引
5F17 fú 弗
5F18 hóng 弘
5F1B chí 弛
5F1F dì 弟
5F20 zhāng 张
5F22 tāo 弢
5F25 mí 弥
5F26 xián 弦
5F27 hú 弧
5F28 chāo 弨
5F29 nǔ 弩
5F2A jìng 弪
5F2D mǐ 弭
5F2E quān 弮
5F2F wān 弯
5F31 ruò 弱
5F35 zhāng 張
5F36 jiàng 弶
5F37 jiàng,qiáng,qiǎng 強
5F38 péng 弸
5F39 dàn,tán 弹
5F3A jiàng,qiáng,qiǎng 强
5F3B bì 弻
5F3C bì 弼
5F40 gòu 彀
5F44 kōu 彄
5F46 biè 彆
5F48 dàn,tán 彈
5F49 guō 彉
5F4A jiàng,qiáng,qiǎng 彊
5F4C mí 彌
5F4D guō 彍
5F4E wān 彎
5F52 guī 归
5F53 dāng,dàng 当
5F55 lù 录
5F56 tuàn 彖
5F57 huì 彗
5F58 zhì 彘
5F59 huì 彙
5F5C yí 彜
5F5D yí 彝
5F5F yuē 彟
5F60 yuē 彠
5F62 xíng 形
5F64 tóng 彤
5F66 yàn 彦
5F67 yù 彧
5F69 cǎi 彩
5F6A biāo 彪
5F6B diāo 彫
5F6C bīn 彬
5F6D péng 彭
5F70 zhāng 彰
5F71 yǐng 影
5F73 chì 彳
5F77 fǎng,páng 彷
5F79 yì 役
5F7B chè 彻
5F7C bǐ 彼
5F7F fú 彿
5F80 wǎng,wàng 往
5F81 zhēng 征
5F82 cú 徂
5F84 jìng 径
5F85 dāi,dài 待
5F87 xùn 徇
5F88 hěn 很
5F89 yáng 徉
5F8A huái,huí 徊
5F8B lǜ 律
5F8C hòu 後
5F90 xú 徐
5F91 jìng 徑
5F92 tú 徒
5F95 lái,lài 徕
5F97 dé,de,děi 得
5F98 pái 徘
5F99 xǐ 徙
5F9B jì 徛
5F9C cháng 徜
5F9E cōng,cóng 從
5FA0 lái,lài 徠
5FA1 yù 御
5FA7 biàn 徧
5FA8 huáng 徨
5FA9 fù 復
5FAA xún 循
5FAC páng 徬
5FAD yáo 徭
5FAE wēi 微
5FAF xī 徯
5FB5 zhēng,zhǐ 徵
5FB7 dé 德
5FB9 chè 徹
5FBC jiǎo,jiào 徼
5FBD huī 徽
5FC3 xīn 心
5FC5 bì 必
5FC6 yì 忆
5FC9 dāo 忉
5FCC jì 忌
5FCD rěn 忍
5FCF chàn 忏
5FD0 tǎn 忐
5FD1 tè 忑
5FD2 tè,tēi,tuī 忒
5FD3 gān 忓
5FD6 cǔn 忖
5FD7 zhì 志
5FD8 wáng,wàng 忘
5FD9 máng 忙
5FDD tiǎn 忝
5FDE mín 忞
5FE0 zhōng 忠
5FE1 chōng 忡
5FE3 jí 忣
5FE4 wǔ 忤
5FE7 yōu 忧
5FE8 wàn 忨
5FEA sōng,zhōng 忪
5FEB kuài 快
5FED biàn 忭
5FEE zhì 忮
5FF1 chén 忱
5FF3 tún 忳
5FF5 niàn 念
5FF7 xiōng 忷
5FF8 niǔ 忸
5FFA xiān 忺
5FFB xīn 忻
5FFC kāng 忼
5FFD hū 忽
5FFE kài 忾
5FFF fèn 忿
6000 huái 怀
6001 tài 态
6002 sǒng 怂
6003 wǔ 怃
6004 òu 怄
6005 chàng 怅
6006 chuàng 怆
600A chāo 怊
600D zuò 怍
600E zěn 怎
600F yàng 怏
6012 nù 怒
6014 zhēng,zhèng 怔
6015 pà 怕
6016 bù 怖
6019 hù,tiē 怙
601B dá 怛
601C lián 怜
601D sāi,sī 思
6020 dài 怠
6021 yí 怡
6025 jí 急
6026 pēng 怦
6027 xìng 性
6028 yuàn 怨
6029 ní 怩
602A guài 怪
602B fú 怫
602F qiè 怯
6031 cōng 怱
6033 huǎng 怳
6035 chù 怵
6039 tān 怹
603B zǒng 总
603C duì 怼
603F yì 怿
6041 nèn,nín 恁
6042 xún 恂
6043 shì 恃
6046 héng 恆
6047 kuāng 恇
6049 zhǐ 恉
604B liàn 恋
604D huǎng 恍
6050 kǒng 恐
6052 héng 恒
6053 xī 恓
6055 shù 恕
6059 yàng 恙
605A huì 恚
605D jiá 恝
605F xiōng 恟
6060 guài 恠
6062 huī 恢
6063 zì 恣
6064 xù 恤
6065 chǐ 恥
6067 nǜ 恧
6068 hèn 恨
6069 ēn 恩
606A kè 恪
606B dòng,tōng 恫
606C tián 恬
606D gōng 恭
606F xī 息
6070 qià 恰
6073 kěn 恳
6076 ě,è,wū,wù 恶
6078 tòng 恸
6079 yān 恹
607A kǎi 恺
607B cè 恻
607C nǎo 恼
607D yùn 恽
607F yǒng 恿
6082 pī 悂
6083 kǔn 悃
6084 qiāo,qiǎo 悄
6089 xī 悉
608C tì 悌
608D hàn 悍
6092 yì 悒
6094 huǐ 悔
6096 bèi 悖
609A sǒng 悚
609B quān 悛
609D kuī,lǐ 悝
609E wù 悞
609F wù 悟
60A0 yōu 悠
60A2 liàng 悢
60A3 huàn 患
60A4 cōng 悤
60A6 yuè 悦
60A8 nín 您
60AB què 悫
60AC xuán 悬
60AD qiān 悭
60AF mǐn 悯
60B1 fěi 悱
60B2 bēi 悲
60B4 cuì 悴
60B5 chàng 悵
60B8 jì 悸
60BB xìng 悻
60BC dào 悼
60BD qī 悽
60BE kōng 悾
60C4 nì 惄
60C5 qíng 情
60C6 chóu 惆
60C7 dūn 惇
60CA jīng 惊
60CB wǎn 惋
60CE jì 惎
60D1 huò 惑
60D3 quán 惓
60D5 tì 惕
60D8 wǎng 惘
60D9 chuò 惙
60DA hū 惚
60DB hūn 惛
60DC xī 惜
60DD chǎng,tǎng 惝
60DF wéi 惟
60E0 huì 惠
60E1 ě,è,wū,wù 惡
60E6 diàn 惦
60E7 jù 惧
60E8 cǎn 惨
60E9 chéng 惩
60EA dé 惪
60EB bèi 惫
60EC qiè 惬
60ED cán 惭
60EE dàn 惮
60EF guàn 惯
60F0 duò 惰
60F1 nǎo 惱
60F3 xiǎng 想
60F4 zhuì 惴
60F6 huáng 惶
60F7 chǔn 惷
60F8 qióng 惸
60F9 rě 惹
60FA xīng 惺
60FC biǎn 惼
60FD mǐn 惽
6100 qiǎo 愀
6101 chóu 愁
6106 qiān 愆
6108 yù 愈
6109 yú 愉
610A bì 愊
610D mǐn 愍
610E bì 愎
610F yì 意
6110 miǎn 愐
6112 kài 愒
6114 yīn 愔
6115 è 愕
6119 kè 愙
611A yú 愚
611B ài 愛
611C qiè 愜
611F gǎn 感
6120 yùn 愠
6123 lèng 愣
6124 fèn 愤
6126 kuì 愦
6127 kuì 愧
6128 què 愨
612B sù 愫
612C sù 愬
6134 chuàng 愴
6137 kǎi 愷
613E kài 愾
613F yuàn 愿
6141 hùn 慁
6142 yǒng 慂
6144 lì 慄
6147 yīn 慇
6148 cí 慈
614A qiàn,qiè 慊
614B tài 態
614C huāng 慌
614E shèn 慎
6151 shè 慑
6153 piāo 慓
6155 mù 慕
6158 cǎn 慘
6159 cán 慙
615C mǐn 慜
615D tè 慝
615F tòng 慟
6160 ào 慠
6162 màn 慢
6164 què 慤
6165 zào 慥
6167 huì 慧
6168 kǎi 慨
616A òu 慪
616B sǒng 慫
616D yìn 慭
616E lǜ 慮
6170 wèi 慰
6173 qiān 慳
6174 shè 慴
6175 yōng 慵
6176 qìng 慶
6177 kāng 慷
617C qī 慼
617E yù 慾
6182 yōu 憂
6183 chōng 憃
6187 qì 憇
618A bèi 憊
618B biē 憋
618E zēng 憎
6190 lián 憐
6191 píng 憑
6193 huì 憓
6194 qiáo 憔
6196 yìn 憖
6199 xī 憙
619A dàn 憚
619D duì 憝
61A7 chōng 憧
61A8 hān 憨
61A9 qì 憩
61AC jǐng 憬
61AD liǎo 憭
61AE wǔ 憮
61AF cǎn 憯
61B1 cù 憱
61B2 xiàn 憲
61B6 yì 憶
61B7 chù 憷
61B9 náo 憹
61BE hàn 憾
61C1 xuān 懁
61C2 dǒng 懂
61C3 qín 懃
61C6 cǎo 懆
61C7 kěn 懇
61C8 xiè 懈
61C9 yīng,yìng 應
61CA ào 懊
61CB mào 懋
61CC yì 懌
61CD lǐn 懍
61D1 mèn 懑
61D2 lǎn 懒
61D4 lǐn 懔
61D5 yān 懕
61DC měng 懜
61DF duì 懟
61E3 mèn 懣
61E6 nuò 懦
61E8 yān 懨
61F2 chéng 懲
61F5 měng 懵
61F7 huái 懷
61F8 xuán 懸
61FA chàn 懺
61FC jù 懼
61FD huān 懽
61FE shè 懾
61FF yì 懿
6200 liàn 戀
6206 gàng,zhuàng 戆
6208 gē 戈
6209 yuè 戉
620A wù 戊
620B jiān 戋
620C qu,xū 戌
620D shù 戍
620E róng 戎
620F hū,xì 戏
6210 chéng 成
6211 wǒ 我
6212 jiè 戒
6214 jiān 戔
6215 qiāng 戕
6216 huò 或
6217 qiāng,qiàng 戗
6218 zhàn 战
621A qī 戚
621B jiá 戛
621E jiá 戞
621F jǐ 戟
6221 kān 戡
6222 jí 戢
6223 kuí 戣
6224 gài 戤
6225 děng 戥
6227 qiāng,qiàng 戧
622A jié 截
622C jiǎn 戬
622E lù 戮
622F hū,xì 戯
6230 zhàn 戰
6232 hū,xì 戲
6233 chuō 戳
6234 dài 戴
6237 hù 户
6239 è 戹
623D hù 戽
623E lì 戾
623F fáng 房
6240 suǒ 所
6241 biǎn,piān 扁
6243 jiōng 扃
6245 yí 扅
6246 yǐ 扆
6247 shān,shàn 扇
6248 hù 扈
6249 fēi 扉
624A yǎn 扊
624B shǒu 手
624D cái 才
624E zā,zhā,zhá 扎
6251 pū 扑
6252 bā,pá 扒
6253 dá,dǎ 打
6254 rēng 扔
6258 tuō 托
625B gāng,káng 扛
625E gǎn,hàn 扞
6260 chā 扠
6263 kòu 扣
6264 wù 扤
6266 qiān 扦
6267 zhí 执
6269 kuò 扩
626A mén 扪
626B sǎo,sào 扫
626C yáng 扬
626D niǔ 扭
626E bàn 扮
626F chě 扯
6270 rǎo 扰
6273 bān,pān 扳
6276 fú 扶
6279 pī 批
627A zhǐ 扺
627C è 扼
627D dèn 扽
627E zhǎo 找
627F chéng 承
6280 jì 技
6283 biàn 抃
6284 chāo 抄
6286 wěn 抆
6288 yuè 抈
6289 jué 抉
628A bǎ,bà 把
628F wán 抏
6291 yì 抑
6292 shū 抒
6293 zhuā 抓
6294 póu 抔
6295 tóu 投
6296 dǒu 抖
6297 kàng 抗
6298 shé,zhē,zhé 折
629A fǔ 抚
629B pāo 抛
629D ǎo,ào,niù 抝
629F tuán 抟
62A0 kōu 抠
62A1 lūn,lún 抡
62A2 qiāng,qiǎng 抢
62A4 hù 护
62A5 bào 报
62A8 pēng 抨
62AB pī 披
62AC tái 抬
62B1 bào 抱
62B4 yè 抴
62B5 dǐ 抵
62B6 chì 抶
62B9 mā,mǒ,mò 抹
62BB chēn 抻
62BC yā 押
62BD chōu 抽
62BF mǐn 抿
62C2 fú 拂
62C3 zhǎ 拃
62C4 zhǔ 拄
62C5 dān,dǎn,dàn 担
62C6 cā,chāi 拆
62C7 mǔ 拇
62C8 niān 拈
62C9 lā,lá,lǎ,là 拉
62CA fǔ 拊
62CB pāo 拋
62CC bàn 拌
62CD pāi 拍
62CE līn 拎
62CF ná 拏
62D0 guǎi 拐
62D1 qián 拑
62D2 jù 拒
62D3 tà,tuò 拓
62D4 bá 拔
62D5 tuō 拕
62D6 tuō 拖
62D7 ǎo,ào,niù 拗
62D8 jū 拘
62D9 zhuō 拙
62DA pàn,pīn 拚
62DB zhāo 招
62DC bài 拜
62DF nǐ 拟
62E2 lǒng 拢
62E3 jiǎn 拣
62E4 qiá 拤
62E5 yōng 拥
62E6 lán 拦
62E7 níng,nǐng,nìng 拧
62E8 bō 拨
62E9 zé,zhái 择
62EC guā,kuò 括
62ED shì 拭
62EE jié 拮
62EF zhěng 拯
62F1 gǒng 拱
62F3 quán 拳
62F4 shuān 拴
62F6 zā,zǎn 拶
62F7 kǎo 拷
62FC pīn 拼
62FD yè,zhuāi,zhuài 拽
62FE shí 拾
62FF ná 拿
6301 chí 持
6302 guà 挂
6307 zhī,zhí,zhǐ 指
6308 qiè 挈
6309 àn 按
630E kuà 挎
6310 ná 挐
6311 tiāo,tiǎo 挑
6313 zhā 挓
6316 wā 挖
631A zhì 挚
631B luán 挛
631C yà 挜
631D wō,zhuā 挝
631E tà 挞
631F jiā,xié 挟
6320 náo 挠
6321 dǎng,dàng 挡
6322 jiǎo 挢
6323 zhēng,zhèng 挣
6324 jǐ 挤
6325 huī 挥
6326 xián 挦
6328 āi,ái 挨
6329 tuō 挩
632A nuó 挪
632B cuò 挫
632F zhèn 振
6331 sā,shā,suō 挱
6332 sā,shā,suō 挲
6336 jū 挶
6339 yì 挹
633A tǐng 挺
633C ruá,ruó 挼
633D wǎn 挽
633E xié 挾
6342 wú,wǔ 捂
6343 jùn 捃
6344 jiù 捄
6345 tǒng 捅
6346 kǔn 捆
6349 zhuō 捉
634B lǚ,luō 捋
634C bā 捌
634D hàn 捍
634E shāo,shào 捎
634F niē 捏
6350 juān 捐
6355 bǔ 捕
6358 zùn 捘
635E lāo 捞
635F sǔn 损
6361 jiǎn 捡
6362 huàn 换
6363 dǎo 捣
6366 qín 捦
6367 pěng 捧
6368 shě 捨
6369 liè 捩
636D bǎi 捭
636E jū,jù 据
636F dáo 捯
6371 ái 捱
6372 juǎn 捲
6374 zǒng 捴
6375 chēn 捵
6376 chuí 捶
6377 jié 捷
637A nà 捺
637B niǎn 捻
637D zuó 捽
6380 xiān 掀
6382 diān 掂
6383 sǎo,sào 掃
6384 lūn,lún 掄
6386 gāng 掆
6387 duō 掇
6388 shòu 授
6389 diào 掉
638A póu,pǒu 掊
638C zhǎng 掌
638E jǐ 掎
638F tāo,táo 掏
6390 qiā 掐
6392 pái,pǎi 排
6396 yē,yè 掖
6397 yà 掗
6398 jué 掘
639B guà 掛
639E shàn 掞
63A0 lüě,lüè 掠
63A1 cǎi 採
63A2 tàn 探
63A3 chè 掣
63A5 jiē 接
63A7 kòng 控
63A8 tuī 推
63A9 yǎn 掩
63AA cuò 措
63AB zhōu 掫
63AC jū 掬
63AD tiàn 掭
63AE qián 掮
63AF kèn 掯
63B0 bāi 掰
63B1 pá 掱
63B3 lǔ 掳
63B4 guāi,guó 掴
63B7 zhī,zhì 掷
63B8 dǎn,shàn 掸
63BA càn,chān,shǎn 掺
63BC guàn 掼
63BD pèng 掽
63BE yuàn 掾
63C0 jiǎn 揀
63C3 jiǎn 揃
63C4 yú 揄
63C5 yán 揅
63C6 kuí 揆
63C8 hōng 揈
63C9 róu 揉
63CC sāi 揌
63CD zòu 揍
63CE xuān 揎
63CF miáo 描
63D0 dī,tí 提
63D2 chā 插
63D5 zhèn 揕
63D6 yī 揖
63DA yáng 揚
63DC yǎn 揜
63DE ǎn 揞
63E0 yà 揠
63E1 wò 握
63E2 ké 揢
63E3 chuāi,chuǎi,chuài 揣
63E6 lá 揦
63E9 kāi 揩
63EA jiū 揪
63ED jiē 揭
63F2 dié,shé 揲
63F3 xiē 揳
63F4 yuán 援
63F6 yé 揶
63F8 zhā 揸
63F9 bēi 揹
63FB wēi 揻
63FD lǎn 揽
63FE wèn 揾
63FF qìn 揿
6400 chān 搀
6401 gē,gé 搁
6402 lōu,lǒu 搂
6405 jiǎo 搅
6406 gòu 搆
6407 qìn 搇
6409 què 搉
640A chōu 搊
640B chuāi 搋
640C zhǎn 搌
640F bó 搏
6410 chù 搐
6412 bàng,péng 搒
6413 cuō 搓
6414 sāo 搔
6415 kē 搕
6417 dǎo 搗
641B jiān 搛
641C sōu 搜
641E gǎo 搞
6420 shuò 搠
6421 sǎng 搡
6422 jìn 搢
6424 è 搤
6425 chuí 搥
6426 nuò 搦
6427 shān 搧
6428 tà 搨
6429 zhǎ 搩
642A táng 搪
642C bān 搬
642D dā 搭
642F tāo 搯
6430 hú 搰
6433 huá 搳
6434 qiān 搴
6436 qiāng,qiǎng 搶
643A xié 携
643D chá 搽
643E zhà 搾
643F gé 搿
6440 wǔ 摀
6441 èn 摁
6444 shè 摄
6445 shū 摅
6446 bǎi 摆
6447 yáo 摇
6448 bìn 摈
644A tān 摊
644B sà,shā 摋
6451 guāi,guó 摑
6452 bǐng,bìng 摒
6454 shuāi 摔
6458 zhāi 摘
645B chī 摛
645E luò 摞
645F lōu,lǒu 摟
6460 zǒng 摠
6463 zhā 摣
6467 cuī 摧
6469 mā,mó 摩
646D zhí 摭
646F zhì 摯
6473 kōu 摳
6474 chū 摴
6476 tuán 摶
6478 mō,mó 摸
6479 mó 摹
647A zhé 摺
647B càn,chān,shǎn 摻
647D biāo,biào 摽
6482 liào 撂
6484 yīng 撄
6485 juē 撅
6487 piē,piě 撇
6488 lāo 撈
6489 dūn 撉
648F xián 撏
6490 chēng 撐
6491 chēng 撑
6492 sā,sǎ 撒
6493 náo 撓
6495 sī 撕
6496 hàn 撖
6499 zǔn 撙
649A niǎn 撚
649D huī 撝
649E zhuàng 撞
649F jiǎo 撟
64A2 dǎn 撢
64A3 dǎn,shàn 撣
64A4 chè 撤
64A5 bō 撥
64A6 chě 撦
64A7 juē 撧
64A8 fǔ 撨
64A9 liāo,liáo,liào 撩
64AC qiào 撬
64AD bō 播
64AE cuō,zuǒ 撮
64B0 zhuàn 撰
64B2 pū 撲
64B4 dūn 撴
64B5 niǎn 撵
64B7 xié 撷
64B8 lū 撸
64BA cuān 撺
64BB tà 撻
64BC hàn 撼
64BD qiào 撽
64BE wō,zhuā 撾
64BF jiǎn 撿
64C0 gǎn 擀
64C1 yōng 擁
64C2 lēi,léi,lèi 擂
64C4 lǔ 擄
64C5 shàn 擅
64C7 zé,zhái 擇
64CA jī 擊
64CB dǎng,dàng 擋
64CD cāo 操
64CE qíng 擎
64D0 huàn 擐
64D2 qín 擒
64D3 kuǎi 擓
64D4 dān,dàn 擔
64D5 xié 擕
64D6 kā 擖
64D7 pǐ 擗
64D8 bāi,bò 擘
64DA jù 據
64DE sǒu,sòu 擞
64E0 jǐ 擠
64E1 tái 擡
64E2 zhuó 擢
64E3 dǎo 擣
64E4 xǐng 擤
64E6 cā 擦
64E7 jǔ 擧
64E9 rǔ 擩
64EC nǐ 擬
64EF bìn 擯
64F0 níng,nǐng,nìng 擰
64F2 zhī,zhì 擲
64F4 kuò 擴
64FA bǎi 擺
64FB sǒu,sòu 擻
64FE rǎo 擾
64FF tī,zhì 擿
6500 pān 攀
6504 shū 攄
6509 huō 攉
650F lǒng 攏
6512 cuán,zǎn 攒
6514 lán 攔
6518 rǎng 攘
6519 chān 攙
651B cuān 攛
651C xié 攜
651D shè 攝
651F jùn 攟
6523 luán 攣
6524 tān 攤
6525 zuàn 攥
6527 diān 攧
6529 dǎng 攩
652A jiǎo 攪
652B jué 攫
652C lǎn 攬
652E nǎng 攮
652F zhī 支
6532 qī 攲
6536 shōu 收
6537 kǎo 攷
6538 yōu 攸
6539 gǎi 改
653B gōng 攻
653D bān 攽
653E fàng 放
653F zhèng 政
6541 diān 敁
6542 kòu 敂
6543 mǐn 敃
6545 gù 故
6548 xiào 效
6549 mǐ 敉
654C dí 敌
654D xù 敍
654F mǐn 敏
6551 jiù 救
6554 yǔ 敔
6555 chì 敕
6556 áo 敖
6558 xù 敘
6559 jiāo,jiào 教
655A duó 敚
655B liǎn 敛
655D bì 敝
655E chǎng 敞
6560 duō 敠
6562 gǎn 敢
6563 sǎn,sàn 散
6566 duì,dūn 敦
6568 tǒu 敨
6569 xiào,xué 敩
656B jiǎo 敫
656C jìng 敬
656D yáng 敭
6570 shǔ,shù,shuò 数
6572 qiāo 敲
6574 zhěng 整
6575 dí 敵
6577 fū 敷
6578 shǔ,shù,shuò 數
657A qū 敺
6582 liǎn 斂
6583 bì 斃
6585 xiào,xué 斅
6587 wén 文
6588 xué 斈
658B zhāi 斋
658C bīn 斌
6590 fěi 斐
6591 bān 斑
6593 lán 斓
6597 dǒu,dòu 斗
6599 liào 料
659A jiǎ 斚
659B hú 斛
659C xié 斜
659D jiǎ 斝
659F zhēn 斟
65A0 jiào 斠
65A1 wò 斡
65A2 tiǎo 斢
65A4 jīn 斤
65A5 chì 斥
65A7 fǔ 斧
65A8 qiāng 斨
65A9 zhǎn 斩
65AB zhuó 斫
65AD duàn 断
65AE cuò,zhuó 斮
65AF sī 斯
65B0 xīn 新
65B2 zhuó 斲
65B6 chù 斶
65B7 duàn 斷
65B8 zhǔ 斸
65B9 fāng 方
65BC wū,yū,yú 於
65BD shī 施
65BE pèi 斾
65BF yóu 斿
65C1 páng 旁
65C2 qí 旂
65C3 zhān 旃
65C4 máo 旄
65C5 lǚ 旅
65C6 pèi 旆
65CB xuán,xuàn 旋
65CC jīng 旌
65CE nǐ 旎
65CF zú 族
65D0 zhào 旐
65D2 liú 旒
65D6 yǐ 旖
65D7 qí 旗
65DB fān 旛
65DF yú 旟
65E0 mó,wú 无
65E2 jì 既
65E5 rì 日
65E6 dàn 旦
65E7 jiù 旧
65E8 zhǐ 旨
65E9 zǎo 早
65EC xún 旬
65ED xù 旭
65EE gā 旮
65EF lá 旯
65F0 gàn 旰
65F1 hàn 旱
65F6 shí 时
65F7 kuàng 旷
65F8 yáng 旸
65FA wàng 旺
65FB mín 旻
65FE chūn 旾
6600 yún 昀
6602 áng 昂
6603 zè 昃
6606 kūn 昆
6607 shēng 昇
6609 fǎng 昉
660A hào 昊
660C chāng 昌
660E míng 明
660F hūn 昏
6613 yì 易
6614 xī 昔
6615 xīn 昕
6619 tán 昙
661A shèn 昚
661D zǎn 昝
661E bǐng 昞
661F xīng 星
6620 yìng 映
6621 xuàn 昡
6625 chūn 春
6627 mèi 昧
6628 zuó 昨
662A biàn 昪
662B xù 昫
662D zhāo 昭
662F shì 是
6630 shì 昰
6631 yù 昱
6633 dié,yì 昳
6634 mǎo 昴
6635 nì 昵
6636 chǎng 昶
663A bǐng 昺
663C zhòu 昼
663D lóng 昽
663E xiǎn 显
6641 cháo 晁
6642 shí 時
6643 huǎng,huàng 晃
6645 xuǎn 晅
6649 jìn 晉
664B jìn 晋
664C shǎng 晌
664F yàn 晏
6652 shài 晒
6653 xiǎo 晓
6654 yè 晔
6655 yūn,yùn 晕
6656 huī 晖
6657 hán 晗
665A wǎn 晚
665B xiàn 晛
665D zhòu 晝
665E xī 晞
665F chéng,shèng 晟
6661 bū 晡
6662 zhé 晢
6663 zhé 晣
6664 wù 晤
6666 huì 晦
6668 chén 晨
666C zuì 晬
666E pǔ 普
666F jǐng 景
6670 xī 晰
6673 xī 晳
6674 qíng 晴
6676 jīng 晶
6677 guǐ 晷
667A zhī,zhì 智
667B àn,yǎn 晻
667E liàng 晾
6682 zàn 暂
6684 xuān 暄
6685 gèng 暅
6687 xiá 暇
668B mǐn 暋
668C kuí 暌
668D yē 暍
668E yìng 暎
6690 wěi 暐
6691 shǔ 暑
6695 jiǎn 暕
6697 àn 暗
6698 yáng 暘
66A0 gǎo,hào 暠
66A2 chàng 暢
66A7 ài,nuǎn 暧
66A8 jì 暨
66AE mù 暮
66B1 nì 暱
66B4 bào,pù 暴
66B5 hàn 暵
66B9 xiān 暹
66BE tūn 暾
66C0 yì 曀
66C4 yè 曄
66C6 lì 曆
66C7 tán 曇
66C8 tóng 曈
66C9 xiǎo 曉
66CC zhào 曌
66CF xiǎng 曏
66D6 ài 曖
66D9 shǔ 曙
66DA méng 曚
66DB xūn 曛
66DC yào 曜
66DD pù 曝
66E0 kuàng 曠
66E1 dié 曡
66E6 xī 曦
66E8 lóng 曨
66E9 nǎng 曩
66EC shài 曬
66F0 yuē 曰
66F2 qū,qǔ 曲
66F3 yè 曳
66F4 gēng,gèng 更
66F7 hé 曷
66F8 shū 書
66F9 cáo 曹
66FC màn 曼
66FE céng,zēng 曾
66FF tì 替
6700 zuì 最
6703 huì,kuài 會
6705 qiè 朅
6706 fēn 朆
6708 yuè 月
6709 yǒu,yòu 有
670A ruǎn 朊
670B péng 朋
670D fú,fù 服
670F fěi 朏
6712 nǜ 朒
6714 shuò 朔
6715 zhèn 朕
6717 lǎng 朗
671B wàng 望
671D cháo,zhāo 朝
671E jī 朞
671F jī,qī 期
6726 méng 朦
6727 lóng 朧
6728 mù 木
672A wèi 未
672B me,mò 末
672C běn 本
672D zhá 札
672F shù,zhú 术
6731 zhū 朱
6733 bā 朳
6734 piáo,pō,pò,pǔ 朴
6735 duǒ 朵
6736 duǒ 朶
673A jī 机
673D xiǔ 朽
6740 shā 杀
6742 zá 杂
6743 quán 权
6746 gān,gǎn 杆
6747 wū 杇
6748 chā,chà 杈
6749 shā,shān 杉
674C wù 杌
674E lǐ 李
674F xìng 杏
6750 cái 材
6751 cūn 村
6753 biāo,sháo 杓
6755 dì,duò 杕
6756 zhàng 杖
6759 yì 杙
675C dù 杜
675D lí 杝
675E qǐ 杞
675F shù 束
6760 gāng,gàng 杠
6761 tiáo 条
6765 lái 来
6767 máng 杧
6768 yáng 杨
6769 mà 杩
676A miǎo 杪
676D háng 杭
676F bēi 杯
6770 jié 杰
6771 dōng 東
6772 gǎo 杲
6773 yǎo 杳
6774 xiān 杴
6775 chǔ 杵
6777 pá 杷
677B chǒu,niǔ 杻
677C zhù 杼
677E sōng 松
677F bǎn 板
6781 jí 极
6784 gòu 构
6787 pí 枇
6789 wǎng 枉
678A àng 枊
